"","kba","domestic_timber"
"1278",6030,48.3635005558291
"1279",6031,0
"1280",6032,6.42249976268504
"1281",6033,0
"1282",6034,44.7760785610017
"1283",6035,5.84447817413836
"1284",6037,0
"1285",6038,5.17585141114943
"1286",6039,8.6456209025545
"1287",6040,6.820701939536
"1288",6042,0
"1289",6043,0
"1290",6045,1.64186724470283
"1291",6047,35.7231539052252
"1292",6048,2.03517614975754
"1293",6049,14.1119425652973
"1294",6050,0.142080480117517
"1295",6051,0
"1296",6052,2.32090396298215
"1297",6053,0
"1298",6054,0
"1299",6055,1.96818774814857
"1300",6056,0
"1301",6057,0.362383437533586
"1302",6058,4.48197143309077
"1303",6059,142.268503684358
"1304",6060,139.447547821448
"1305",6061,11.921574575311
"1306",6062,0.709271285640181
"1307",6064,1.64115374000047
"1308",6065,10.3215923407758
"1309",6067,36.3216688918441
"1310",6068,5.20245111426172
"1311",6073,69.0472615261266
"1312",6074,13.8290848062645
"1313",6075,0
"1314",6076,2.80475914842043
"1315",6077,13.3281333105005
"1316",6078,17.5547855370852
"1317",6079,14.0976265056202
"1318",6080,2.73402394901228
"1319",6081,0
"1320",6082,0.950441161086189
"1321",6083,22.0199583093539
"1322",6084,0.0904813869892976
"1323",6085,1.63713133364404
"1324",6086,0.698966813144683
"1325",6087,3.08941621911292
"1326",6088,9.22270107461487
"1327",6089,12.6634391856916
"1328",6090,12.3189638139397
"1329",6104,0
"1330",6105,3.42595570173886
"1331",6106,1.88537862037406
"1332",6107,0
"1333",6108,0
"1334",6109,0
"1335",6110,0.646520853684849
"1336",6111,1.39843603382279
"1337",6113,0
"1338",6118,6.89622272504447
"1339",6131,0
"1340",6132,5.39710611537037
"1341",6133,0.10930883958396
"1342",6134,8.37587424593378
"1343",6135,0.594121072697687
"1344",6136,1.51450399226833
"1345",6149,0
"1346",6150,0.128589562270673
"1347",6151,0
"1348",6152,0
"1349",6153,0
"1350",6154,0.0329798291198579
"1351",6155,0
"1352",6174,0
